,categoria,cilindrada,quilometragem,ano,url,preco,diferenca_de_preco
3164,Motos,300,54000.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vendo-cb-300-723176174,7000.0,-1416.8417753583326
737,Motos,300,63000.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300-ano-2011-728962974,7000.0,-1416.8417753583326
1923,Motos,300,42.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300-preta-2011-726498037,7000.0,-1416.8417753583326
2497,Motos,300,67065.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vendo-moto-honda-cb-300-725092129,7000.0,-1416.8417753583326
1625,Motos,300,77700.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/honda-cb-300-2010-727188731,6600.0,-1341.3770534510231
318,Motos,300,70.0,2009,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-730372098,6500.0,-1307.9096484845622
1841,Motos,300,26000.0,2013,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/honda-flex-2013-726669058,8800.0,-1175.69482210338
4100,Motos,300,88000.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300-719954808,6800.0,-1140.2086214099909
2314,Motos,300,46000.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-725620256,7300.0,-1115.0891272967838
114,Motos,300,82000.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-com-abs-730623656,7300.0,-1115.0891272967838
3125,Motos,300,58.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vendo-723317201,8500.0,-1072.386638179334
4076,Motos,300,45000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/troco-cb-300r-2012-flex-720029370,8500.0,-1072.386638179334
3978,Motos,300,54000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-2012-720442269,8500.0,-1072.386638179334
1917,Motos,300,45000.0,2013,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-2013-flex-726512443,9000.0,-974.5263900623468
1024,Motos,300,46000.0,2013,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-r-9-000-00-728477642,9000.0,-974.5263900623468
4365,Motos,300,36202.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300-segundo-dono-6-999-00-706839710,6999.0,-940.0460315291639
1130,Motos,300,69000.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300r-728305149,7000.0,-939.0401893689577
2754,Motos,300,55.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/honda-cb-300-r-724259592,7000.0,-939.0401893689577
1669,Motos,300,83.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300-apenas-venda-aceito-cartao-727099753,7000.0,-939.0401893689577
2222,Motos,300,75000.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vendo-ou-troco-cb300r-2009-10-725828848,7000.0,-939.0401893689577
74,Motos,300,65500.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-2011-top-724685398,7490.0,-923.9791168578031
1934,Motos,300,52000.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300-excelente-estado-726477166,7499.0,-914.9265374159568
193,Motos,300,52000.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-2011-concervada-muito-boa-730538444,7499.0,-914.9265374159568
3185,Motos,300,73000.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300-2011-2011-723114827,7500.0,-913.9206952557506
3763,Motos,300,84899.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/quero-pegar-um-carro-porque-tenho-um-bebe-pequeno-721154661,7500.0,-913.9206952557506
4048,Motos,300,82000.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-720188338,7500.0,-913.9206952557506
3996,Motos,300,46100.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-720371432,7500.0,-913.9206952557506
1104,Motos,250,53500.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-728343928,7500.0,-758.2839359154495
1852,Motos,300,49000.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/moto-cb-300-726650358,7200.0,-737.8717573279255
3288,Motos,250,50000.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-preta-2010-722714902,8000.0,-733.1644418022406
1170,Motos,300,47400.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-r-prata-728239177,7300.0,-637.2875413074089
2452,Motos,300,52000.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-r-prata-725239587,7500.0,-436.11910926637665
3849,Motos,300,70000.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/moto-718629805,7500.0,-436.11910926637665
2320,Motos,300,43000.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-otimo-estado-baixo-km-725612353,7500.0,-436.11910926637665
3339,Motos,300,51000.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vendo-cb-300-2010-722491179,7500.0,-436.11910926637665
584,Motos,300,50932.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/moto-cb300-729207586,7500.0,-436.11910926637665
4178,Motos,300,43000.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300r-flex-719592857,7500.0,-436.11910926637665
2792,Motos,300,72.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-724129605,7500.0,-436.11910926637665
1749,Motos,300,79000.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/honda-cb300-726926732,8000.0,-410.99961515317045
4372,Motos,300,33400.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-718916879,8000.0,-410.99961515317045
155,Motos,300,31600.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-730586291,8199.0,-210.83702527234163
592,Motos,300,46000.0,2012,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-2012-729196157,9500.0,-66.54447797417015
1635,Motos,300,78000.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-727173666,8000.0,66.80197083620442
1622,Motos,300,46000.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-727194842,8000.0,66.80197083620442
3758,Motos,300,10000.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-721176547,8000.0,66.80197083620442
2130,Motos,300,78000.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-726043471,8000.0,66.80197083620442
2403,Motos,300,63.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300-725358567,8000.0,66.80197083620442
3762,Motos,300,70000.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vende-se-uma-moto-721158340,8500.0,91.92146494941153
2595,Motos,300,57000.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/moto-724802335,7500.0,200.3711509475106
2181,Motos,300,66000.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-2014-725931007,7800.0,502.12379900905944
4309,Motos,350,80.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vendo-cb-300-2011-719147006,7500.0,629.1098911003219
1918,Motos,300,33700.0,2015,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/honda-cb300r-2015-726511411,8000.0,703.2922310500917
93,Motos,300,36330.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/honda-cb-300-730642994,8700.0,770.8914829798186
3484,Motos,300,95000.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-711654822,8900.0,972.0599150208509
3221,Motos,300,40000.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-2013-2014-8-400-aceito-troca-722976700,8400.0,1105.629095132157
1014,Motos,300,68000.0,2015,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/venda-de-moto-728486852,8500.0,1206.2133111526728
